Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
AUDI,S5,Used,25000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,24000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,24995,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,22500,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,250
AUDI,S5,Used,23950,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,24995,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,22000,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,,3 doors,4 seats,
AUDI,S5,Used,21950,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,250
AUDI,S5,Used,21995,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,21000,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,20990,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,20989,2014,Convertible,Petrol,3.0L,35.8 mpg,5.4,Automatic,quattro,,2 doors,4 seats,
AUDI,S5,Used,27995,2015,Convertible,Petrol,3.0L,,,Automatic,,184,2 doors,4 seats,250
AUDI,S5,Used,29990,2016,Convertible,Petrol,3.0L,35.3 mpg,4.9,Automatic,quattro,181,2 doors,4 seats,140
AUDI,S5,Used,22750,2011,Hatchback,Petrol,3.0L,34.9 mpg,5.1,Automatic,quattro,190,5 doors,4 seats,290
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,20950,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,20000,2015,Coupe,Petrol,3.0L,,,Automatic,,178,2 doors,4 seats,250
AUDI,S5,Used,20950,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,28990,2016,Hatchback,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,5 doors,4 seats,140
AUDI,S5,Used,27500,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,27500,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,19995,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,19995,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,
AUDI,S5,Used,28495,2016,Coupe,Petrol,3.0L,38.2 mpg,4.7,Automatic,quattro,170,3 doors,4 seats,
AUDI,S5,Used,19668,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,19850,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
AUDI,S5,Used,19995,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,19950,2009,Convertible,Petrol,3.0L,,,Automatic,quattro,199,2 doors,4 seats,290
