Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax,Ad_Link
AUDI,TTS,Used,23450,2014,Coupe,Petrol,2.0L,39.2 mpg,4.9,Manual,quattro,168,3 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201901204119255
AUDI,TTS,Used,22950,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902175030966
AUDI,TTS,Used,24500,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,230,https://www.autotrader.co.uk/classified/advert/201902265327564
AUDI,TTS,Used,23000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902215168957
BENTLEY,TURBO R,Used,9750,1985,Saloon,Petrol,6.8L,,7.2,Automatic,,458,4 doors,,,https://www.autotrader.co.uk/classified/advert/201902205109975
AUDI,TTS,Used,23990,2014,Coupe,Petrol,2.0L,39.2 mpg,4.9,Manual,quattro,169,3 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201901143936002
AUDI,TTS,Used,16995,2008,Convertible,Petrol,2.0L,35.8 mpg,5.5,Automatic,quattro,184,2 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201805196671287
AUDI,TTS,Used,15950,2008,Convertible,Petrol,2.0L,34.9 mpg,5.7,Manual,quattro,189,2 doors,2 seats,290,https://www.autotrader.co.uk/classified/advert/201903065608624
AUDI,TTS,Used,15500,2008,Coupe,Petrol,2.0L,35.8 mpg,5.5,Manual,quattro,184,3 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201903075653948
AUDI,TTS,Used,15488,2008,Coupe,Petrol,2.0L,35.8 mpg,5.4,Automatic,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201903085699950
AUDI,TTS,Used,15399,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901143934062
AUDI,TTS,Used,13999,2008,Coupe,Petrol,2.0L,35.8 mpg,5.4,Automatic,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902034575028
AUDI,TTS,Used,12990,2008,Coupe,Petrol,2.0L,35.3 mpg,5.4,Manual,quattro,191,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201903085669818
AUDI,TTS,Used,13995,2008,Coupe,Petrol,2.0L,35.3 mpg,5.4,Manual,quattro,191,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201902185058595
AUDI,TTS,Used,12990,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901083744328
AUDI,TTS,Used,11999,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901284355280
AUDI,TTS,Used,14999,2008,Convertible,Petrol,2.0L,35.8 mpg,5.4,Automatic,quattro,184,2 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201811212611266
AUDI,TTS,Used,15995,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902134887455
AUDI,TTS,Used,14995,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201812012911846
AUDI,TTS,Used,15995,2008,Coupe,Petrol,2.0L,35.8 mpg,5.4,Manual,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902014513299
AUDI,TTS,Used,11995,2008,Convertible,Petrol,2.0L,34.4 mpg,5.6,Manual,quattro,194,2 doors,2 seats,,https://www.autotrader.co.uk/classified/advert/201902114817548
AUDI,TTS,Used,11990,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902104789237
AUDI,TTS,Used,11950,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201810281905989
AUDI,TTS,Used,11995,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902245263178
AUDI,TTS,Used,11995,2008,Convertible,Petrol,2.0L,35.3 mpg,5.4,Automatic,quattro,190,2 doors,2 seats,290,https://www.autotrader.co.uk/classified/advert/201809291002988
AUDI,TTS,Used,11995,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201811262761851
AUDI,TTS,Used,11995,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901103819347
AUDI,TTS,Used,11950,2008,Coupe,Petrol,2.0L,35.3 mpg,5.4,Manual,quattro,191,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201901184056270
AUDI,TTS,Used,11495,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902134888781
AUDI,TTS,Used,11500,2008,Convertible,Petrol,2.0L,34.4 mpg,5.6,Manual,quattro,194,2 doors,2 seats,,https://www.autotrader.co.uk/classified/advert/201902215168803
AUDI,TTS,Used,11990,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201902185045570
AUDI,TTS,Used,11750,2008,Coupe,Petrol,2.0L,35.3 mpg,5.4,Manual,quattro,191,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201903075651785
AUDI,TTS,Used,11495,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201902225193001
AUDI,TTS,Used,13975,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901294397540
AUDI,TTS,Used,13690,2008,Coupe,Petrol,2.0L,34.9 mpg,5.4,Manual,quattro,184,3 doors,4 seats,290,https://www.autotrader.co.uk/classified/advert/201902014510585
AUDI,TTS,Used,13950,2008,Coupe,Petrol,2.0L,35.8 mpg,5.4,Manual,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201811082240959
AUDI,TTS,Used,13000,2008,Convertible,Petrol,2.0L,,5.6,Manual,quattro,189,2 doors,2 seats,290,https://www.autotrader.co.uk/classified/advert/201810201679318
AUDI,TTS,Used,14990,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902114806979
AUDI,TTS,Used,13990,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201812233456057
AUDI,TTS,Used,14750,2008,Coupe,Petrol,2.0L,35.8 mpg,5.2,Automatic,quattro,188,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901093774618
AUDI,TTS,Used,14195,2008,Coupe,Petrol,2.0L,34.9 mpg,5.4,Manual,quattro,184,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902285412954
AUDI,TTS,Used,14980,2008,Convertible,Petrol,2.0L,35.8 mpg,5.5,Automatic,quattro,184,2 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201807218668060
